source_index,x,y,z,before_class,after_class,before_instance,after_instance,fusion_score,after_step05_type
1234270,6.0611104804177,-2.3465561464292715,0.028606768223307426,4,3,0,87,0.5,0
1234568,6.065510699852122,-2.3538219724184644,0.023892138017902596,4,3,0,87,0.6499999761581421,0
1234569,6.062309417037957,-2.3532934673070662,0.026102637868203632,4,3,0,87,0.6499999761581421,0
1234902,6.062258105042707,-2.353747689931925,0.024454878952969696,4,3,0,87,0.6499999761581421,0
1234903,6.062131615957553,-2.3535142953929347,0.025339357866688,4,3,0,87,0.6499999761581421,0
1234904,6.062173853266604,-2.3531036815386313,0.026519411139261477,4,3,0,87,0.6499999761581421,0
1234905,6.061190255519729,-2.3527164487135686,0.026629186678289465,4,3,0,87,0.6499999761581421,0
1234906,6.0607899274531025,-2.352109922961935,0.026956620839484823,4,3,0,87,0.6499999761581421,0
1234907,6.060071536185361,-2.349782785137557,0.02769313718702187,4,3,0,87,0.6499999761581421,0
1234908,6.060050746543629,-2.3486713089499593,0.027915746660017372,4,3,0,87,0.6499999761581421,0
1234909,6.0603433579217265,-2.3485844368876987,0.02805056850677063,4,3,0,87,0.6499999761581421,0
1234910,6.060155295608985,-2.346791726734055,0.028102605442999265,4,3,0,87,0.5,0
1234911,6.060871856305546,-2.3456810294607147,0.028500557534905782,4,3,0,87,0.5,0
1234912,6.061134770195533,-2.3449296651017066,0.028685368033967797,4,3,0,87,0.5,0
1235232,6.060167113235177,-2.3506278132558984,0.0274510691042986,4,3,0,87,0.6499999761581421,0
1235233,6.060275293108382,-2.3477987962209212,0.028113034778019366,4,3,0,87,0.5,0
1235234,6.059794983431698,-2.346923083505372,0.027930591832402187,4,3,0,87,0.5,0
1235235,6.060150661428787,-2.345893078212664,0.02811513676456103,4,3,0,87,0.5,0
1235523,6.060254182620841,-2.352086461230286,0.02676241664048213,4,3,0,87,0.6499999761581421,0
1235524,6.06011358332035,-2.3513777839115155,0.02710788980695563,4,3,0,87,0.6499999761581421,0
1235525,6.059818986198371,-2.347549112943565,0.027922049877629078,4,3,0,87,0.5,0
1235817,6.06131005467808,-2.353219499469243,0.025792571969165644,4,3,0,87,0.6499999761581421,0
1235818,6.060207127957803,-2.3528843550616214,0.026125155047893055,4,3,0,87,0.6499999761581421,0
1235819,6.059554155400512,-2.350597197119723,0.027255458981742316,4,3,0,87,0.6499999761581421,0
1235820,6.059162346665158,-2.3498288217811307,0.02734116399055797,4,3,0,87,0.6499999761581421,0
1235821,6.059275993750955,-2.347880524638103,0.027656410952858153,4,3,0,87,0.5,0
1235822,6.059274019674193,-2.346743464426867,0.027679544297935933,4,3,0,87,0.5,0
1235823,6.059864137954082,-2.345034583219947,0.02796906898789671,4,3,0,87,0.5,0
1235824,6.060184176398672,-2.3448621072113607,0.028147290662410625,4,3,0,87,0.5,0
1235825,6.059696123254219,-2.3442525165817427,0.02785439644651415,4,3,0,87,0.5,0
1236134,6.061186165027338,-2.3534767275150226,0.025239691343022418,4,3,0,87,0.6499999761581421,0
1236135,6.06025033247113,-2.353167825445068,0.025793399444598658,4,3,0,87,0.6499999761581421,0
